;count
Changzhou Huade Machine Co;12
Metallbau Arandt Gbr;12
He Mainline & Metros;12
Kabel  Technik  Polska Z Oo;12
Wagner Rail;12
Onderhousbedrijf Wintergraefsmeer;12
Te Pro Doo;12
Kansai Helios;12
Erich Wurzel;12
Demke Electronic;12
Isolex Srl;12
Hamacher Beschläge;12
Jv Trade Wg Sro Cz;12
Bt Bogies;12
Mv Blechbearbeitung;12
Bvb Baseler Verkehrsbetriebe;12
Ultimate Europe Transportation Equ;12
Technisches Büro Joachim Krebs;12
Ellagro Västerås;12
Ts Henschel;12
Haupt Hydraulik Pneumatik;12
Stadtwerke Augsburg Verkehrsbetriebe;12
Ltg Ulm;12
Gve Viehbeck Engineering +;12
Kth;12
Hauptstrasse 115;12
Regionalbahn;12
AZ Metall;12
Industriestrasse 3;12
Regiojet As;12
Tmf Operation;12
Digicon;12
Im Instytut Mechaniki Spzoo;12
Ronelt Sro;12
AKG;12
Grenzstr 1;12
Ltg Service Center Ulm;12
Composites Ate;11
Rudolf Rost Sperrholz;11
Werkstraße;11
Aq Mekatronik;11
Ma Tac & Logistic Production;11
Mahl Industrial Thermal Systems & Cokg;11
Logser;11
Zeiss Str 5;11
Astromal Spólka Zoo Spk;11
Wilhelm Wissmann;11
11 Döttingerstrasse;11
Dowaldwerke;11
Verkehrsbetriebe Brandenburg;11
Radionika Z;11
Promec Srl;11
Soflog Telis;11
Stäubli Española Sau;11
Dilax Intelcom;11
H+W Werner Höhmann;11
Cmc Engineering;11
Howden Solyvent Ventec;11
Raben Logistics;11
Industriehydraulik Vogel+Partner;11
Trafikverket Materialservice;11
Avi Srl;11
Silbitz Group Staßfurt Aws;11
Ltg Service Center (Lsc) Bmg Mis;11
Coli Schiffahrt & Transport Bremen;11
Spirotec Sarl;11
NTT;11
Am Rathenaupark;11
Benzstrasse;10
Quickstep Anticorro Sro;10
Weetech;10
Nelz And Dutschmann Gbr;10
Sweg Bahn Stuttgart  Betriebswerk Pforzheim;10
Rolf Kuhn;10
Gersys;10
Amari Austria;10
Peter Rämsch Transporte;10
